location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year,state
"Baker Butte",,0.0,7,7300,01,00,az
"Baker Butte",,0.0,7,7300,02,00,az
"Baker Butte",,0.0,7,7300,03,00,az
"Baker Butte",,0.1,7,7300,04,00,az
"Baker Butte",,0.0,7,7300,05,00,az
"Baker Butte",,0.0,7,7300,06,00,az
"Baker Butte",,0.0,7,7300,01,01,az
"Baker Butte",,4.1,7,7300,02,01,az
"Baker Butte",,7.2,7,7300,03,01,az
"Baker Butte",,0.2,7,7300,04,01,az
"Baker Butte",,0.0,7,7300,05,01,az
"Baker Butte",,0.0,7,7300,06,01,az
"Baker Butte",,2.2,7,7300,01,02,az
"Baker Butte",,1.9,7,7300,02,02,az
"Baker Butte",,0.0,7,7300,03,02,az
"Baker Butte",,0.0,7,7300,04,02,az
"Baker Butte",,0.0,7,7300,05,02,az
"Baker Butte",,0.0,7,7300,06,02,az
"Baker Butte",10,2.1,7,7300,01,03,az
"Baker Butte",1,0.1,7,7300,02,03,az
"Baker Butte",35,5.1,7,7300,03,03,az
"Baker Butte",2,0.0,7,7300,04,03,az
"Baker Butte",0,0.0,7,7300,05,03,az
"Baker Butte",,0.0,7,7300,06,03,az
"Baker Butte",2,0.3,7,7300,01,04,az
"Baker Butte",10,2.5,7,7300,02,04,az
"Baker Butte",18,4.9,7,7300,03,04,az
"Baker Butte",1,0.0,7,7300,04,04,az
"Baker Butte",1,0.0,7,7300,05,04,az
"Baker Butte",3,0.0,7,7300,06,04,az
"Baker Butte",4,1.4,7,7300,01,05,az
"Baker Butte",21,6.3,7,7300,02,05,az
"Baker Butte",22,7.7,7,7300,03,05,az
"Baker Butte",8,3.0,7,7300,04,05,az
"Baker Butte",0,0.0,7,7300,05,05,az
"Baker Butte",,0.0,7,7300,06,05,az
"Baker Butte",,0.0,7,7300,01,06,az
"Baker Butte",0,0.0,7,7300,02,06,az
"Baker Butte",,0.0,7,7300,03,06,az
"Baker Butte",0,0.0,7,7300,04,06,az
"Baker Butte",,0.0,7,7300,05,06,az
"Baker Butte",,0.0,7,7300,06,06,az
"Baker Butte",8,1.6,7,7300,01,07,az
"Baker Butte",24,4.3,7,7300,02,07,az
"Baker Butte",13,5.1,7,7300,03,07,az
"Baker Butte",0,0.0,7,7300,04,07,az
"Baker Butte",0,0.0,7,7300,05,07,az
"Baker Butte",,0.0,7,7300,06,07,az
"Baker Butte",8,1.4,7,7300,01,08,az
"Baker Butte",25,6.4,7,7300,02,08,az
"Baker Butte",25,9.5,7,7300,03,08,az
"Baker Butte",0,0.0,7,7300,04,08,az
"Baker Butte",0,0.0,7,7300,05,08,az
"Baker Butte",0,0.0,7,7300,06,08,az
"Baker Butte",22,6.9,7,7300,01,09,az
"Baker Butte",12,4.7,7,7300,02,09,az
"Baker Butte",15,6.5,7,7300,03,09,az
"Baker Butte",0,0.0,7,7300,04,09,az
"Baker Butte",0,0.0,7,7300,05,09,az
"Baker Butte",0,0.0,7,7300,06,09,az
"Baker Butte",16,4.5,7,7300,01,10,az
"Baker Butte",41,12.7,7,7300,02,10,az
"Baker Butte",46,16.2,7,7300,03,10,az
"Baker Butte",24,10.8,7,7300,04,10,az
"Baker Butte",0,0.0,7,7300,05,10,az
"Baker Butte",,0.0,7,7300,06,10,az
"Baker Butte",20,2.8,7,7300,01,11,az
"Baker Butte",6,2.1,7,7300,02,11,az
"Baker Butte",12,3.0,7,7300,03,11,az
"Baker Butte",0,0.0,7,7300,04,11,az
"Baker Butte",0,0.0,7,7300,05,11,az
"Baker Butte",0,0.0,7,7300,06,11,az
"Baker Butte",15,4.3,7,7300,01,12,az
"Baker Butte",11,3.3,7,7300,02,12,az
"Baker Butte",5,0.9,7,7300,03,12,az
"Baker Butte",0,0.0,7,7300,04,12,az
"Baker Butte",0,0.0,7,7300,05,12,az
"Baker Butte",0,0.0,7,7300,06,12,az
"Baker Butte",19,4.3,7,7300,01,13,az
"Baker Butte",10,3.0,7,7300,02,13,az
"Baker Butte",14,3.6,7,7300,03,13,az
"Baker Butte",0,0.0,7,7300,04,13,az
"Baker Butte",0,0.0,7,7300,05,13,az
"Baker Butte",0,0.0,7,7300,06,13,az
"Baker Butte",9,2.2,7,7300,01,14,az
"Baker Butte",2,0.4,7,7300,02,14,az
"Baker Butte",1,0.1,7,7300,03,14,az
"Baker Butte",0,0.0,7,7300,04,14,az
"Baker Butte",0,0.0,7,7300,05,14,az
"Baker Butte",0,0.0,7,7300,06,14,az
"Baker Butte",16,1.6,7,7300,01,15,az
"Baker Butte",1,0.1,7,7300,02,15,az
"Baker Butte",6,1.9,7,7300,03,15,az
"Baker Butte",0,0.0,7,7300,04,15,az
"Baker Butte",0,0.0,7,7300,05,15,az
"Baker Butte",0,0.0,7,7300,06,15,az
"Baker Butte",10,2.5,7,7300,01,16,az
"Baker Butte",19,5.9,7,7300,02,16,az
"Baker Butte",0,0.0,7,7300,03,16,az
"Baker Butte",0,0.0,7,7300,04,16,az
"Baker Butte",0,0.0,7,7300,05,16,az
"Baker Butte",0,0.0,7,7300,06,16,az
"Baker Butte No. 2",7,0.7,7,7700,01,00,az
"Baker Butte No. 2",0,0.0,7,7700,02,00,az
"Baker Butte No. 2",2,0.5,7,7700,03,00,az
"Baker Butte No. 2",13,5.1,7,7700,03,00,az
"Baker Butte No. 2",10,2.5,7,7700,01,01,az
"Baker Butte No. 2",26,5.8,7,7700,01,01,az
"Baker Butte No. 2",40,9.6,7,7700,02,01,az
"Baker Butte No. 2",27,10.2,7,7700,03,01,az
"Baker Butte No. 2",16,3.2,7,7700,01,02,az
"Baker Butte No. 2",9,3.3,7,7700,02,02,az
"Baker Butte No. 2",1,0.3,7,7700,03,02,az
"Baker Butte No. 2",12,3.2,7,7700,01,03,az
"Baker Butte No. 2",8,2.8,7,7700,01,03,az
"Baker Butte No. 2",31,6.3,7,7700,02,03,az
"Baker Butte No. 2",21,8.8,7,7700,03,03,az
"Baker Butte No. 2",14,3.8,7,7700,01,04,az
"Baker Butte No. 2",24,6.6,7,7700,02,04,az
"Baker Butte No. 2",2,0.8,7,7700,03,04,az
"Baker Butte No. 2",37,12.1,7,7700,01,05,az
"Baker Butte No. 2",46,16.0,7,7700,03,05,az
"Baker Butte No. 2",45,18.0,7,7700,04,05,az
"Baker Butte No. 2",1,0.4,7,7700,01,06,az
"Baker Butte No. 2",0,0.0,7,7700,02,06,az
"Baker Butte No. 2",8,3.1,7,7700,03,06,az
"Baker Butte No. 2",15,4.1,7,7700,01,07,az
"Baker Butte No. 2",27,8.5,7,7700,02,07,az
"Baker Butte No. 2",5,1.9,7,7700,03,07,az
"Baker Butte No. 2",35,8.4,7,7700,02,08,az
"Baker Butte No. 2",52,15.5,7,7700,02,08,az
"Baker Butte No. 2",29,11.6,7,7700,04,08,az
"Baker Butte No. 2",21,8.9,7,7700,01,09,az
"Baker Butte No. 2",37,13.3,7,7700,02,09,az
"Baker Butte No. 2",20,9.0,7,7700,03,09,az
"Baker Butte No. 2",60,17.6,7,7700,01,10,az
"Baker Butte No. 2",65,23.4,7,7700,02,10,az
"Baker Butte No. 2",57,23.4,7,7700,03,10,az
"Baker Butte No. 2",23,7.9,7,7700,01,12,az
"Baker Butte No. 2",24,7.6,7,7700,02,12,az
"Baker Butte No. 2",14,6.4,7,7700,03,12,az
"Baker Butte No. 2",19,6.4,7,7700,01,13,az
"Baker Butte No. 2",28,8.9,7,7700,02,13,az
"Baker Butte No. 2",18,6.2,7,7700,03,13,az
"Baker Butte No. 2",12,3.1,7,7700,01,14,az
"Baker Butte No. 2",7,2.1,7,7700,02,14,az
"Baker Butte No. 2",0,0.0,7,7700,03,14,az
"Baker Butte No. 2",8,2.7,7,7700,01,15,az
"Baker Butte No. 2",3,0.7,7,7700,02,15,az
"Baker Butte No. 2",0,0.0,7,7700,03,15,az
"Baker Butte No. 2",27,7.9,7,7700,01,16,az
"Baker Butte No. 2",19,6.3,7,7700,02,16,az
"Baker Butte No. 2",0,0.1,7,7700,04,16,az
"Baker Butte Smt",,0.0,7,7700,06,09,az
"Baker Butte Smt",25,6.4,7,7700,01,10,az
"Baker Butte Smt",62,17.8,7,7700,02,10,az
"Baker Butte Smt",73,22.7,7,7700,03,10,az
"Baker Butte Smt",67,27.7,7,7700,04,10,az
"Baker Butte Smt",33,15.7,7,7700,05,10,az
"Baker Butte Smt",,0.0,7,7700,06,10,az
"Baker Butte Smt",29,7.6,7,7700,01,11,az
"Baker Butte Smt",23,7.2,7,7700,02,11,az
"Baker Butte Smt",43,12.9,7,7700,03,11,az
"Baker Butte Smt",34,13.4,7,7700,04,11,az
"Baker Butte Smt",0,0.0,7,7700,05,11,az
"Baker Butte Smt",0,0.0,7,7700,06,11,az
"Baker Butte Smt",28,8.1,7,7700,01,12,az
"Baker Butte Smt",27,8.5,7,7700,02,12,az
"Baker Butte Smt",30,9.3,7,7700,03,12,az
"Baker Butte Smt",29,10.6,7,7700,04,12,az
"Baker Butte Smt",0,0.0,7,7700,05,12,az
"Baker Butte Smt",0,0.0,7,7700,06,12,az
"Baker Butte Smt",27,5.9,7,7700,01,13,az
"Baker Butte Smt",20,7.1,7,7700,02,13,az
"Baker Butte Smt",32,10.5,7,7700,03,13,az
"Baker Butte Smt",28,10.8,7,7700,04,13,az
"Baker Butte Smt",0,0.0,7,7700,05,13,az
"Baker Butte Smt",0,0.0,7,7700,06,13,az
"Baker Butte Smt",20,4.9,7,7700,01,14,az
"Baker Butte Smt",15,5.1,7,7700,02,14,az
"Baker Butte Smt",11,4.6,7,7700,03,14,az
"Baker Butte Smt",8,2.8,7,7700,04,14,az
"Baker Butte Smt",0,0.0,7,7700,05,14,az
"Baker Butte Smt",0,0.0,7,7700,06,14,az
"Baker Butte Smt",22,3.5,7,7700,01,15,az
"Baker Butte Smt",7,3.2,7,7700,02,15,az
"Baker Butte Smt",12,5.1,7,7700,03,15,az
"Baker Butte Smt",0,0.0,7,7700,04,15,az
"Baker Butte Smt",0,0.0,7,7700,05,15,az
"Baker Butte Smt",0,0.0,7,7700,06,15,az
"Baker Butte Smt",14,4.1,7,7700,01,16,az
"Baker Butte Smt",31,9.9,7,7700,02,16,az
"Baker Butte Smt",26,9.0,7,7700,03,16,az
"Baker Butte Smt",15,5.7,7,7700,04,16,az
"Baker Butte Smt",0,0.0,7,7700,05,16,az
"Baker Butte Smt",0,0.0,7,7700,06,16,az
Baldy,,0.3,9,9125,01,00,az
Baldy,,0.0,9,9125,02,00,az
Baldy,,0.5,9,9125,03,00,az
Baldy,,0.0,9,9125,04,00,az
Baldy,,0.0,9,9125,05,00,az
Baldy,,0.0,9,9125,06,00,az
Baldy,,4.3,9,9125,01,01,az
Baldy,,6.6,9,9125,02,01,az
Baldy,,9.2,9,9125,03,01,az
Baldy,,6.4,9,9125,04,01,az
Baldy,,0.0,9,9125,05,01,az
Baldy,,0.0,9,9125,06,01,az
Baldy,,2.9,9,9125,01,02,az
Baldy,,3.9,9,9125,02,02,az
Baldy,,3.5,9,9125,03,02,az
Baldy,,0.0,9,9125,04,02,az
Baldy,,0.0,9,9125,05,02,az
Baldy,,0.0,9,9125,06,02,az
Baldy,14,3.6,9,9125,01,03,az
Baldy,11,4.1,9,9125,02,03,az
Baldy,34,8.0,9,9125,03,03,az
Baldy,16,7.4,9,9125,04,03,az
Baldy,0,0.0,9,9125,05,03,az
Baldy,0,0.0,9,9125,06,03,az
Baldy,3,1.5,9,9125,01,04,az
Baldy,16,3.5,9,9125,02,04,az
Baldy,20,5.8,9,9125,03,04,az
Baldy,0,0.0,9,9125,04,04,az
Baldy,1,0.0,9,9125,05,04,az
Baldy,0,0.0,9,9125,06,04,az
Baldy,5,2.8,9,9125,01,05,az
Baldy,24,6.9,9,9125,02,05,az
Baldy,37,11.3,9,9125,03,05,az
Baldy,30,9.9,9,9125,04,05,az
Baldy,0,0.0,9,9125,05,05,az
Baldy,0,0.0,9,9125,06,05,az
Baldy,0,0.0,9,9125,01,06,az
Baldy,3,1.1,9,9125,02,06,az
Baldy,0,0.0,9,9125,03,06,az
Baldy,1,0.9,9,9125,04,06,az
Baldy,,0.0,9,9125,05,06,az
Baldy,0,0.0,9,9125,06,06,az
Baldy,3,1.0,9,9125,01,07,az
Baldy,18,3.6,9,9125,02,07,az
Baldy,19,5.6,9,9125,03,07,az
Baldy,1,0.0,9,9125,04,07,az
Baldy,1,0.0,9,9125,05,07,az
Baldy,0,0.0,9,9125,06,07,az
Baldy,17,4.0,9,9125,01,08,az
Baldy,34,8.8,9,9125,02,08,az
Baldy,34,11.5,9,9125,03,08,az
Baldy,7,1.7,9,9125,04,08,az
Baldy,0,0.0,9,9125,05,08,az
Baldy,0,0.0,9,9125,06,08,az
Baldy,29,7.4,9,9125,01,09,az
Baldy,25,8.1,9,9125,02,09,az
Baldy,21,9.1,9,9125,03,09,az
Baldy,1,0.6,9,9125,04,09,az
Baldy,0,0.0,9,9125,05,09,az
Baldy,0,0.0,9,9125,06,09,az
Baldy,21,3.8,9,9125,01,10,az
