id_num,name,id,elevation,lat,lon,avg,river
1,"PARKS CREEK",PRK,6700,41.367,-122.55,35.6,Shasta
2,"LITTLE SHASTA",LSH,6200,41.808,-122.195,17.7,Shasta
3,SWEETWATER,SWT,5850,41.382,-122.535,13.1,Shasta
5,"MIDDLE BOULDER 1",MBL,6600,41.217,-122.807,31.5,Scott
417,"BOX CAMP",BXC,6450,41.597,-123.165,36.4,Scott
311,"MIDDLE BOULDER 3",MB3,6200,41.225,-122.811,27.8,Scott
4,"ETNA MOUNTAIN",ETN,5900,41.4,-123.001,25.6,Scott
298,"DYNAMITE MEADOW",DYM,5700,41.233,-122.817,18.2,Scott
285,"SWAMPY JOHN",SWJ,5500,41.397,-122.993,30.9,Scott
9,"DEADFALL LAKES",DDF,7200,41.318,-122.503,33.1,Trinity
10,"RED ROCK MOUNTAIN",RRM,6700,41.023,-122.885,43.2,Trinity
11,"BEAR BASIN",BBS,6500,40.967,-122.867,38.1,Trinity
12,"SHIMMY LAKE",SHM,6400,41.008,-122.8,49.5,Trinity
13,"WOLFORD CABIN",WLC,6150,41.2,-122.833,35.6,Trinity
16,"HIGHLAND LAKES",HIG,6030,41.093,-122.483,34.4,Trinity
15,"MUMBO BASIN",MUM,5650,41.197,-122.523,22,Trinity
14,WHALAN,WHN,5400,41.15,-122.45,20.8,Trinity
17,"BIG FLAT (COURSE)",BFT,5100,41.077,-122.938,12.9,Trinity
63,"PLASKETT MEADOWS",PSM,6000,39.725,-122.85,16.9,Eel
18,"MOUNT SHASTA",MSH,7900,41.372,-122.23,51.7,Sacramento
20,"NORTH FORK SACRAMENTO R",NFS,6900,41.305,-122.493,24.8,Sacramento
19,"SAND FLAT (COURSE)",SFT,6800,41.353,-122.247,43.1,Sacramento
21,"GRAY ROCK LAKES",GYR,6200,41.217,-122.417,48.7,Sacramento
22,"SLATE CREEK",SLT,5700,41.045,-122.478,29.5,Sacramento
23,"BREWER CREEK",BWR,6250,41.435,-122.1,34.6,McCloud
25,"STOUTS MEADOW",STM,5400,41.17,-121.938,35.5,McCloud
26,"ASH CREEK",ASH,5000,41.4,-122.05,18.9,McCloud
27,"DEAD HORSE CANYON",DHC,4500,41.208,-121.775,12.1,McCloud
30,"CEDAR PASS",CDP,7100,41.583,-120.303,16,Pit
28,"BLUE LAKE RANCH",BLU,6800,41.15,-120.25,9.6,Pit
31,"BLACKS MOUNTAIN",BMN,6700,40.762,-121.195,8.6,Pit
32,"MEDICINE LAKE",MDC,6700,41.587,-121.613,31.6,Pit
33,"THOUSAND LAKES",THL,6500,40.71,-121.577,32.2,Pit
35,"ADIN MOUNTAIN",ADI,6200,41.237,-120.793,12.7,Pit
34,"SNOW MOUNTAIN",SMT,6050,40.767,-121.783,27.7,Pit
343,"NEW MANZANITA LAKE",NMN,5900,40.533,-121.562,9.1,Pit
37,"MCELROY PASS",MCP,5300,40.695,-121.48,1.3,Pit
41,"BURNEY SPRINGS",BNS,4700,40.78,-121.617,1.4,Pit
62,"ANTHONY PEAK",ATP,6200,39.842,-122.95,29.3,Stony Cr
47,"LOWER LASSEN PEAK",LLP,8250,40.467,-121.508,78.1,Feather
361,"KETTLE ROCK",KTL,7300,40.14,-120.715,22.1,Feather
48,"MOUNT DYER 1",MDY,7100,40.243,-121.035,26.2,Feather
359,"GRIZZLY RIDGE",GRZ,6900,39.917,-120.645,28.9,Feather
279,"EUREKA BOWL",ERB,6800,39.755,-120.72,42.7,Feather
388,"PILOT PEAK (DWR)",PLP,6800,39.786,-120.878,45.2,Feather
360,"MOUNT HOUGH",MHG,6700,40.042,-120.878,29.3,Feather
75,"CHURCH MEADOWS",CHU,6700,39.682,-120.623,29.7,Feather
280,"ROWLAND CREEK",RWL,6700,40.013,-120.293,16.3,Feather
53,"THREE LAKES",3LK,6250,39.973,-121.213,39.3,Feather
52,"EUREKA LAKE",EUR,6200,39.762,-120.713,29,Feather
51,"HARKNESS FLAT",HRF,6200,40.418,-121.275,26.9,Feather
290,"MOUNT DYER 2",MD2,6050,40.258,-121.047,16.9,Feather
54,"MILL CREEK FLAT",MLF,5900,39.942,-121.19,37.8,Feather
387,"FREDONYER PASS 3",FP3,5850,40.375,-120.872,2.4,Feather
353,"FRENCHMAN COVE",FCV,5800,39.897,-120.265,1.7,Feather
355,ABBEY,ABY,5650,39.955,-120.538,9,Feather
354,"ANTELOPE RIDGE",ANR,5650,40.155,-120.542,2.7,Feather
49,LETTERBOX,LTT,5600,39.857,-121.263,46.5,Feather
55,"MOUNT STOVER",MSV,5600,40.293,-121.292,13.2,Feather
58,"FEATHER RIVER MEADOW",FEM,5400,40.355,-121.422,22.4,Feather
56,"BROWNS CAMP",BCP,5400,39.9,-121.257,22.3,Feather
59,"WARNER CREEK",WRN,5100,40.387,-121.31,13.9,Feather
434,"HUMBUG SUMMIT 2",HS2,4850,40.187,-121.298,14.1,Feather
61,"CHESTER FLAT",CHF,4600,40.283,-121.25,5.3,Feather
64,"WEBBER PEAK",WPK,7800,39.483,-120.44,41.1,Yuba
65,"CASTLE CREEK 5",CC5,7400,39.353,-120.353,48.6,Yuba
67,"RED MOUNTAIN",RDM,7200,39.343,-120.508,51.2,Yuba
66,"MEADOW LAKE",MWL,7200,39.417,-120.508,54.3,Yuba
68,"ENGLISH MOUNTAIN",ENM,7100,39.436,-120.525,46.8,Yuba
69,"DONNER SUMMIT",DNS,6900,39.31,-120.338,36.8,Yuba
74,"YUBA PASS",YBP,6700,39.617,-120.492,27.6,Yuba
76,"FURNACE FLAT",FNF,6700,39.355,-120.503,47.4,Yuba
77,"LAKE FORDYCE",FOD,6500,39.36,-120.5,39.4,Yuba
78,"FINDLEY PEAK",FNP,6500,39.47,-120.572,31.2,Yuba
389,"ROBINSON COW CAMP SNOW COURSE",RCW,6480,39.622,-120.681,42.5,Yuba
390,"SUNNYSIDE MEADOW",SSM,6300,39.697,-120.78,55.7,Yuba
80,CISCO,CCO,5900,39.303,-120.543,27.6,Yuba
372,"CHAPMAN CREEK",CMC,5850,39.633,-120.533,23,Yuba
83,"BOWMAN LAKE",BOM,5650,39.458,-120.6,22.4,Yuba
391,LEXINGTON,LXN,5600,39.68,-121.005,28.7,Yuba
277,GIBSONVILLE,GBN,5400,39.725,-120.932,26.7,Yuba
85,"LAKE SPAULDING",SPD,5200,39.317,-120.642,20.8,Yuba
429,"CHALK BLUFF",CHK,4850,39.305,-120.81,4.3,Yuba
106,"UPPER CARSON PASS",UCP,8500,38.695,-119.983,34.1,American
331,"LOWER CARSON PASS",LCP,8400,38.693,-119.998,37.5,American
107,"CAPLES LAKE",CAP,8000,38.71,-120.042,29.8,American
365,ALPHA,APH,7600,38.804,-120.216,33.5,American
338,"LOST CORNER MOUNTAIN",LCR,7500,39.017,-120.215,35.7,American
