date,snow_depth,water,water_adjusted,site
2/2000,46.2,16.4,18.0,3LK
3/2000,112.4,39.2,39.2,3LK
4/2000,92.5,40.4,40.4,3LK
2/2001,53.4,13.9,13.9,3LK
3/2001,93.5,27.7,27.7,3LK
4/2001,67.0,32.9,32.9,3LK
5/2001,58.3,30.8,30.8,3LK
2/2002,63.7,22.1,22.1,3LK
3/2002,65.9,27.8,27.8,3LK
4/2002,81.1,33.7,33.7,3LK
2/2003,56.0,28.0,28.0,3LK
3/2003,64.6,29.1,29.2,3LK
4/2003,60.3,29.8,30.0,3LK
5/2003,99.5,41.0,41.0,3LK
2/2004,79.8,28.7,29.1,3LK
3/2004,125.1,45.8,45.8,3LK
4/2004,84.5,43.4,43.4,3LK
5/2004,57.8,30.5,30.5,3LK
2/2005,85.3,32.6,32.6,3LK
3/2005,92.0,37.0,37.8,3LK
4/2005,113.8,49.7,49.7,3LK
5/2005,96.7,51.9,52.0,3LK
2/2006,52.3,16.9,16.9,3LK
3/2006,48.9,19.0,27.4,3LK
4/2006,103.5,41.9,43.1,3LK
5/2006,109.0,57.8,57.8,3LK
2/2007,25.5,9.4,9.4,3LK
3/2007,78.8,22.6,22.6,3LK
4/2007,42.9,17.7,17.7,3LK
5/2007,31.8,14.1,14.1,3LK
2/2008,102.4,33.1,30.3,3LK
3/2008,114.2,40.0,40.0,3LK
4/2008,85.1,43.5,43.6,3LK
5/2008,56.8,31.8,31.8,3LK
2/2009,34.1,11.4,--,3LK
3/2009,70.5,30.7,--,3LK
4/2009,68.5,32.6,--,3LK
5/2009,49.4,25.1,--,3LK
2/2010,88.9,25.3,--,3LK
3/2010,89.0,29.4,--,3LK
4/2010,95.7,37.2,--,3LK
5/2010,97.3,47.4,--,3LK
2/2011,61.4,25.4,--,3LK
3/2011,106.8,38.0,--,3LK
4/2011,178.6,66.6,--,3LK
5/2011,123.7,69.1,--,3LK
3/2012,20.2,8.0,--,3LK
4/2012,52.9,21.7,--,3LK
5/2012,45.2,26.3,--,3LK
2/2013,46.5,15.0,--,3LK
3/2013,49.4,17.0,--,3LK
4/2013,46.7,17.8,--,3LK
5/2013,0.0,0.0,--,3LK
3/2014,3.5,1.5,--,3LK
4/2014,4.5,2.0,--,3LK
5/2014,2.0,1.0,--,3LK
3/2015,8.5,2.5,--,3LK
4/2015,0.0,0.0,--,3LK
5/2015,0.0,0.0,--,3LK
4/2016,80.5,31.5,--,3LK
5/2016,30.5,15.5,--,3LK
1/2000,16.8,4.8,--,ABN
2/2000,76.7,18.2,19.7,ABN
3/2000,98.8,30.3,34.7,ABN
4/2000,79.8,33.0,33.0,ABN
5/2000,36.0,16.7,16.7,ABN
1/2001,27.3,7.3,--,ABN
2/2001,35.3,8.8,8.8,ABN
3/2001,72.7,19.5,19.8,ABN
4/2001,43.8,18.2,18.2,ABN
5/2001,37.3,15.6,15.6,ABN
2/2002,70.3,25.2,25.2,ABN
3/2002,68.5,27.8,27.8,ABN
4/2002,87.8,35.5,35.5,ABN
5/2002,46.7,19.7,19.7,ABN
2/2003,50.5,20.2,20.2,ABN
3/2003,56.5,22.3,22.4,ABN
4/2003,50.7,22.8,22.8,ABN
5/2003,73.0,30.0,30.0,ABN
2/2004,72.8,25.0,25.0,ABN
3/2004,109.0,37.3,36.8,ABN
4/2004,62.8,29.7,29.7,ABN
5/2004,8.5,4.0,4.0,ABN
2/2005,90.5,32.7,32.7,ABN
3/2005,103.8,36.2,37.2,ABN
4/2005,122.3,47.5,47.5,ABN
5/2005,90.0,41.3,41.7,ABN
1/2006,61.5,19.5,--,ABN
2/2006,77.0,26.3,25.9,ABN
3/2006,77.3,27.0,27.0,ABN
4/2006,113.3,43.7,43.7,ABN
5/2006,106.2,50.8,50.8,ABN
1/2007,28.4,8.0,--,ABN
2/2007,33.2,10.2,10.2,ABN
3/2007,84.2,22.7,22.7,ABN
4/2007,52.3,17.3,17.3,ABN
5/2007,15.5,6.5,6.5,ABN
1/2008,30.8,9.7,--,ABN
2/2008,82.0,24.8,24.8,ABN
3/2008,101.7,33.7,33.7,ABN
4/2008,73.2,33.5,33.5,ABN
5/2008,36.5,18.0,18.0,ABN
1/2009,45.0,11.7,--,ABN
2/2009,39.5,12.7,--,ABN
3/2009,69.5,22.7,--,ABN
4/2009,68.3,29.8,--,ABN
5/2009,40.2,18.3,--,ABN
1/2010,46.5,12.5,--,ABN
2/2010,73.5,20.2,--,ABN
3/2010,81.3,26.8,--,ABN
4/2010,76.3,30.3,--,ABN
5/2010,71.3,30.7,--,ABN
2/2011,79.3,27.0,--,ABN
4/2011,163.0,54.0,--,ABN
5/2011,103.2,48.7,--,ABN
2/2012,20.0,4.5,--,ABN
3/2012,42.2,9.5,--,ABN
4/2012,52.2,18.5,--,ABN
5/2012,25.7,11.5,--,ABN
2/2013,53.2,19.3,--,ABN
3/2013,49.8,16.8,--,ABN
4/2013,43.8,18.5,--,ABN
5/2013,1.2,0.3,--,ABN
1/2014,14.4,4.0,--,ABN
2/2014,24.9,5.2,--,ABN
3/2014,43.0,15.5,--,ABN
4/2014,33.5,12.0,--,ABN
5/2014,6.5,2.5,--,ABN
1/2015,18.5,5.0,--,ABN
2/2015,10.5,3.5,--,ABN
3/2015,15.0,3.0,--,ABN
4/2015,0.0,0.0,--,ABN
5/2015,0.0,0.0,--,ABN
1/2016,62.5,18.0,--,ABN
2/2016,72.5,19.0,--,ABN
3/2016,63.0,29.0,--,ABN
4/2016,74.0,35.5,--,ABN
5/2016,39.0,21.0,--,ABN
1/2000,8.4,1.7,--,ABY
2/2000,29.1,8.1,8.5,ABY
3/2000,42.6,13.8,13.8,ABY
4/2000,22.4,9.2,9.2,ABY
5/2000,0.0,0.0,--,ABY
1/2001,9.9,2.3,--,ABY
2/2001,19.5,3.4,3.4,ABY
3/2001,29.5,7.7,7.7,ABY
4/2001,11.2,3.9,3.9,ABY
5/2001,0.0,0.0,--,ABY
1/2002,22.7,6.5,--,ABY
2/2002,30.2,8.2,8.2,ABY
3/2002,21.2,8.1,8.1,ABY
4/2002,20.6,8.6,8.6,ABY
5/2002,0.0,0.0,0.1,ABY
1/2003,24.3,6.0,--,ABY
2/2003,17.6,7.0,7.0,ABY
3/2003,18.0,7.0,7.0,ABY
4/2003,6.2,3.1,3.1,ABY
5/2003,0.8,0.1,0.5,ABY
1/2004,25.7,4.7,--,ABY
2/2004,26.8,7.3,7.3,ABY
3/2004,33.3,9.6,9.9,ABY
4/2004,11.4,4.5,4.5,ABY
5/2004,0.0,0.0,--,ABY
1/2005,16.8,2.9,--,ABY
2/2005,43.4,11.7,11.7,ABY
3/2005,34.6,13.6,13.6,ABY
4/2005,32.2,14.0,14.0,ABY
5/2005,8.2,3.5,3.5,ABY
2/2006,19.0,5.6,5.9,ABY
3/2006,17.6,5.5,5.5,ABY
4/2006,29.4,10.6,10.9,ABY
5/2006,18.6,7.7,7.7,ABY
1/2007,7.7,1.3,--,ABY
