location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Swede Peak",,2.4,7,7640,01,00
"Swede Peak",,6.7,7,7640,02,00
"Swede Peak",,11.5,7,7640,03,00
"Swede Peak",,13.4,7,7640,04,00
"Swede Peak",,5.7,7,7640,05,00
"Swede Peak",,0.0,7,7640,06,00
"Swede Peak",,3.9,7,7640,01,01
"Swede Peak",,6.5,7,7640,02,01
"Swede Peak",,7.7,7,7640,03,01
"Swede Peak",,7.7,7,7640,04,01
"Swede Peak",,4.1,7,7640,05,01
"Swede Peak",,0.0,7,7640,06,01
"Swede Peak",,6.3,7,7640,01,02
"Swede Peak",,9.0,7,7640,02,02
"Swede Peak",,10.0,7,7640,03,02
"Swede Peak",,12.2,7,7640,04,02
"Swede Peak",,7.8,7,7640,05,02
"Swede Peak",,0.0,7,7640,06,02
"Swede Peak",,9.0,7,7640,01,03
"Swede Peak",,10.7,7,7640,02,03
"Swede Peak",,12.7,7,7640,03,03
"Swede Peak",,14.7,7,7640,04,03
"Swede Peak",,15.2,7,7640,05,03
"Swede Peak",,0.0,7,7640,06,03
"Swede Peak",,7.2,7,7640,01,04
"Swede Peak",,10.0,7,7640,02,04
"Swede Peak",,13.9,7,7640,03,04
"Swede Peak",,10.3,7,7640,04,04
"Swede Peak",,0.6,7,7640,05,04
"Swede Peak",,0.0,7,7640,06,04
"Swede Peak",,7.0,7,7640,01,05
"Swede Peak",,9.3,7,7640,02,05
"Swede Peak",,10.2,7,7640,03,05
"Swede Peak",,13.3,7,7640,04,05
"Swede Peak",,12.6,7,7640,05,05
"Swede Peak",,0.0,7,7640,06,05
"Swede Peak",,10.3,7,7640,01,06
"Swede Peak",,15.1,7,7640,02,06
"Swede Peak",,17.4,7,7640,03,06
"Swede Peak",,23.5,7,7640,04,06
"Swede Peak",,22.1,7,7640,05,06
"Swede Peak",,0.0,7,7640,06,06
"Swede Peak",,5.5,7,7640,01,07
"Swede Peak",,6.6,7,7640,02,07
"Swede Peak",,9.2,7,7640,03,07
"Swede Peak",,6.7,7,7640,04,07
"Swede Peak",,0.0,7,7640,05,07
"Swede Peak",,0.0,7,7640,06,07
"Swede Peak",23,4.9,7,7640,01,08
"Swede Peak",53,11.0,7,7640,02,08
"Swede Peak",45,13.0,7,7640,03,08
"Swede Peak",51,15.0,7,7640,04,08
"Swede Peak",37,13.9,7,7640,05,08
"Swede Peak",0,0.0,7,7640,06,08
"Swede Peak",29,6.0,7,7640,01,09
"Swede Peak",28,7.8,7,7640,02,09
"Swede Peak",37,10.2,7,7640,03,09
"Swede Peak",41,13.7,7,7640,04,09
"Swede Peak",25,9.4,7,7640,05,09
"Swede Peak",0,0.0,7,7640,06,09
"Swede Peak",16,2.5,7,7640,01,10
"Swede Peak",32,6.6,7,7640,02,10
"Swede Peak",30,7.6,7,7640,03,10
"Swede Peak",41,11.0,7,7640,04,10
"Swede Peak",27,9.3,7,7640,05,10
"Swede Peak",4,1.3,7,7640,06,10
"Swede Peak",35,8.1,7,7640,01,11
"Swede Peak",32,8.7,7,7640,02,11
"Swede Peak",44,10.9,7,7640,03,11
"Swede Peak",61,16.7,7,7640,04,11
"Swede Peak",55,18.5,7,7640,05,11
"Swede Peak",28,10.5,7,7640,06,11
"Swede Peak",16,2.8,7,7640,01,12
"Swede Peak",29,5.9,7,7640,02,12
"Swede Peak",35,7.3,7,7640,03,12
"Swede Peak",41,13.4,7,7640,04,12
"Swede Peak",12,4.1,7,7640,05,12
"Swede Peak",0,0.0,7,7640,06,12
"Swede Peak",36,9.3,7,7640,01,13
"Swede Peak",39,10.7,7,7640,02,13
"Swede Peak",42,11.5,7,7640,03,13
"Swede Peak",34,11.6,7,7640,04,13
"Swede Peak",12,4.4,7,7640,05,13
"Swede Peak",0,0.0,7,7640,06,13
"Swede Peak",10,2.3,7,7640,01,14
"Swede Peak",17,3.5,7,7640,02,14
"Swede Peak",24,6.1,7,7640,03,14
"Swede Peak",28,8.2,7,7640,04,14
"Swede Peak",8,1.7,7,7640,05,14
"Swede Peak",0,0.0,7,7640,06,14
"Swede Peak",28,6.4,7,7640,01,15
"Swede Peak",27,7.5,7,7640,02,15
"Swede Peak",36,9.6,7,7640,03,15
"Swede Peak",13,4.8,7,7640,04,15
"Swede Peak",0,0.0,7,7640,05,15
"Swede Peak",0,0.0,7,7640,06,15
"Swede Peak",33,7.4,7,7640,01,16
"Swede Peak",41,10.2,7,7640,02,16
"Swede Peak",37,11.1,7,7640,03,16
"Swede Peak",41,14.0,7,7640,04,16
"Swede Peak",20,7.4,7,7640,05,16
"Swede Peak",0,0.0,7,7640,06,16
