location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Madison Butte",,3.1,5,5150,01,00
"Madison Butte",,3.4,5,5150,02,00
"Madison Butte",,4.0,5,5150,03,00
"Madison Butte",,2.1,5,5150,04,00
"Madison Butte",,0.0,5,5150,05,00
"Madison Butte",,0.0,5,5150,06,00
"Madison Butte",,1.0,5,5150,01,01
"Madison Butte",,2.6,5,5150,02,01
"Madison Butte",,4.0,5,5150,03,01
"Madison Butte",,0.0,5,5150,04,01
"Madison Butte",,0.0,5,5150,05,01
"Madison Butte",,0.0,5,5150,06,01
"Madison Butte",,5.3,5,5150,01,02
"Madison Butte",,6.0,5,5150,02,02
"Madison Butte",17,4.7,5,5150,03,02
"Madison Butte",6,2.9,5,5150,04,02
"Madison Butte",0,0.0,5,5150,05,02
"Madison Butte",0,0.0,5,5150,06,02
"Madison Butte",12,1.5,5,5150,01,03
"Madison Butte",0,0.0,5,5150,02,03
"Madison Butte",10,1.6,5,5150,03,03
"Madison Butte",0,0.0,5,5150,04,03
"Madison Butte",0,0.0,5,5150,05,03
"Madison Butte",0,0.0,5,5150,06,03
"Madison Butte",16,1.7,5,5150,01,04
"Madison Butte",16,1.8,5,5150,02,04
"Madison Butte",19,2.5,5,5150,03,04
"Madison Butte",0,0.0,5,5150,04,04
"Madison Butte",0,0.0,5,5150,05,04
"Madison Butte",0,0.0,5,5150,06,04
"Madison Butte",7,0.6,5,5150,01,05
"Madison Butte",0,0.0,5,5150,02,05
"Madison Butte",0,0.8,5,5150,03,05
"Madison Butte",0,0.0,5,5150,04,05
"Madison Butte",0,0.0,5,5150,05,05
"Madison Butte",0,0.0,5,5150,06,05
"Madison Butte",6,1.8,5,5150,01,06
"Madison Butte",15,4.4,5,5150,02,06
"Madison Butte",12,5.7,5,5150,03,06
"Madison Butte",12,6.1,5,5150,04,06
"Madison Butte",0,0.0,5,5150,05,06
"Madison Butte",0,0.0,5,5150,06,06
"Madison Butte",7,2.0,5,5150,01,07
"Madison Butte",11,3.9,5,5150,02,07
"Madison Butte",10,2.2,5,5150,03,07
"Madison Butte",0,0.0,5,5150,04,07
"Madison Butte",0,0.0,5,5150,05,07
"Madison Butte",0,0.0,5,5150,06,07
"Madison Butte",15,4.8,5,5150,01,08
"Madison Butte",30,9.4,5,5150,02,08
"Madison Butte",18,9.3,5,5150,03,08
"Madison Butte",25,10.0,5,5150,04,08
"Madison Butte",2,2.4,5,5150,05,08
"Madison Butte",0,0.0,5,5150,06,08
"Madison Butte",17,4.3,5,5150,01,09
"Madison Butte",15,5.2,5,5150,02,09
"Madison Butte",13,4.3,5,5150,03,09
"Madison Butte",16,6.8,5,5150,04,09
"Madison Butte",2,0.4,5,5150,05,09
"Madison Butte",0,0.0,5,5150,06,09
"Madison Butte",8,3.0,5,5150,01,10
"Madison Butte",13,3.9,5,5150,02,10
"Madison Butte",8,4.1,5,5150,03,10
"Madison Butte",0,0.2,5,5150,04,10
"Madison Butte",0,0.0,5,5150,05,10
"Madison Butte",0,0.0,5,5150,06,10
"Madison Butte",22,4.0,5,5150,01,11
"Madison Butte",10,3.0,5,5150,02,11
"Madison Butte",19,5.2,5,5150,03,11
"Madison Butte",18,7.3,5,5150,04,11
"Madison Butte",2,0.2,5,5150,05,11
"Madison Butte",0,0.0,5,5150,06,11
"Madison Butte",2,0.7,5,5150,01,12
"Madison Butte",8,2.9,5,5150,02,12
"Madison Butte",12,3.7,5,5150,03,12
"Madison Butte",6,2.6,5,5150,04,12
"Madison Butte",0,0.0,5,5150,05,12
"Madison Butte",0,0.0,5,5150,06,12
"Madison Butte",18,4.6,5,5150,01,13
"Madison Butte",24,7.2,5,5150,02,13
"Madison Butte",20,7.4,5,5150,03,13
"Madison Butte",0,0.9,5,5150,04,13
"Madison Butte",0,0.0,5,5150,05,13
"Madison Butte",0,0.0,5,5150,06,13
"Madison Butte",5,1.5,5,5150,01,14
"Madison Butte",9,2.1,5,5150,02,14
"Madison Butte",11,3.3,5,5150,03,14
"Madison Butte",0,0.0,5,5150,04,14
"Madison Butte",0,0.0,5,5150,05,14
"Madison Butte",0,0.0,5,5150,06,14
"Madison Butte",12,1.9,5,5150,01,15
"Madison Butte",0,0.0,5,5150,02,15
"Madison Butte",7,1.0,5,5150,03,15
"Madison Butte",0,0.0,5,5150,04,15
"Madison Butte",0,0.0,5,5150,05,15
"Madison Butte",0,0.0,5,5150,06,15
"Madison Butte",14,3.9,5,5150,01,16
"Madison Butte",17,5.9,5,5150,02,16
"Madison Butte",5,2.2,5,5150,03,16
"Madison Butte",0,0.0,5,5150,04,16
"Madison Butte",0,0.0,5,5150,05,16
"Madison Butte",0,0.0,5,5150,06,16
