location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Cloud Peak Reservoir",,7.1,9,9860,01,00
"Cloud Peak Reservoir",,9.9,9,9860,02,00
"Cloud Peak Reservoir",,12.2,9,9860,03,00
"Cloud Peak Reservoir",,14.5,9,9860,04,00
"Cloud Peak Reservoir",,17.1,9,9860,05,00
"Cloud Peak Reservoir",,4.8,9,9860,06,00
"Cloud Peak Reservoir",,5.1,9,9860,01,01
"Cloud Peak Reservoir",,6.2,9,9860,02,01
"Cloud Peak Reservoir",,7.6,9,9860,03,01
"Cloud Peak Reservoir",,9.9,9,9860,04,01
"Cloud Peak Reservoir",,10.0,9,9860,05,01
"Cloud Peak Reservoir",,0.0,9,9860,06,01
"Cloud Peak Reservoir",,5.5,9,9860,01,02
"Cloud Peak Reservoir",,7.8,9,9860,02,02
"Cloud Peak Reservoir",,9.8,9,9860,03,02
"Cloud Peak Reservoir",,13.5,9,9860,04,02
"Cloud Peak Reservoir",,15.9,9,9860,05,02
"Cloud Peak Reservoir",,1.9,9,9860,06,02
"Cloud Peak Reservoir",,5.1,9,9860,01,03
"Cloud Peak Reservoir",,7.6,9,9860,02,03
"Cloud Peak Reservoir",,10.3,9,9860,03,03
"Cloud Peak Reservoir",,16.5,9,9860,04,03
"Cloud Peak Reservoir",,16.1,9,9860,05,03
"Cloud Peak Reservoir",,3.4,9,9860,06,03
"Cloud Peak Reservoir",30,6.6,9,9860,01,04
"Cloud Peak Reservoir",33,8.0,9,9860,02,04
"Cloud Peak Reservoir",61,11.4,9,9860,03,04
"Cloud Peak Reservoir",37,12.1,9,9860,04,04
"Cloud Peak Reservoir",35,14.0,9,9860,05,04
"Cloud Peak Reservoir",0,0.0,9,9860,06,04
"Cloud Peak Reservoir",27,6.8,9,9860,01,05
"Cloud Peak Reservoir",36,8.9,9,9860,02,05
"Cloud Peak Reservoir",37,9.9,9,9860,03,05
"Cloud Peak Reservoir",50,14.0,9,9860,04,05
"Cloud Peak Reservoir",50,15.2,9,9860,05,05
"Cloud Peak Reservoir",30,11.7,9,9860,06,05
"Cloud Peak Reservoir",26,6.4,9,9860,01,06
"Cloud Peak Reservoir",35,8.2,9,9860,02,06
"Cloud Peak Reservoir",41,10.7,9,9860,03,06
"Cloud Peak Reservoir",47,12.9,9,9860,04,06
"Cloud Peak Reservoir",34,12.6,9,9860,05,06
"Cloud Peak Reservoir",0,0.0,9,9860,06,06
"Cloud Peak Reservoir",19,4.6,9,9860,01,07
