location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year
"Round Top Mtn",13,5.3,4,4020,01,03
"Round Top Mtn",19,6.3,4,4020,02,03
"Round Top Mtn",1,0.5,4,4020,03,03
"Round Top Mtn",0,0.0,4,4020,04,03
"Round Top Mtn",38,11.0,4,4020,01,04
"Round Top Mtn",39,13.1,4,4020,02,04
"Round Top Mtn",22,9.7,4,4020,03,04
"Round Top Mtn",0,0.0,4,4020,04,04
"Round Top Mtn",0,0.0,4,4020,01,05
"Round Top Mtn",0,0.0,4,4020,03,05
"Round Top Mtn",4,0.8,4,4020,04,05
"Round Top Mtn",0,0.0,4,4020,04,05
"Round Top Mtn",37,10.9,4,4020,01,06
"Round Top Mtn",39,12.2,4,4020,02,06
"Round Top Mtn",36,14.4,4,4020,03,06
"Round Top Mtn",10,4.2,4,4020,04,06
"Round Top Mtn",35,9.6,4,4020,01,07
"Round Top Mtn",53,14.0,4,4020,02,07
"Round Top Mtn",16,6.5,4,4020,03,07
"Round Top Mtn",0,0.0,4,4020,04,07
"Round Top Mtn",62,20.4,4,4020,02,08
"Round Top Mtn",68,26.5,4,4020,03,08
"Round Top Mtn",61,27.6,4,4020,04,08
"Round Top Mtn",30,9.4,4,4020,01,11
"Round Top Mtn",39,12.2,4,4020,02,11
"Round Top Mtn",46,16.3,4,4020,03,11
"Round Top Mtn",48,17.6,4,4020,05,11
"Round Top Mtn",25,5.6,4,4020,01,12
"Round Top Mtn",38,10.2,4,4020,02,12
"Round Top Mtn",51,17.0,4,4020,03,12
"Round Top Mtn",10,3.9,4,4020,04,12
"Round Top Mtn",36,9.8,4,4020,01,13
"Round Top Mtn",44,12.3,4,4020,02,13
"Round Top Mtn",30,11.6,4,4020,03,13
"Round Top Mtn",0,0.0,4,4020,04,13
"Round Top Mtn",33,6.8,4,4020,02,14
"Round Top Mtn",44,11.3,4,4020,03,14
"Round Top Mtn",30,9.4,4,4020,03,14
"Round Top Mtn",16,5.0,4,4020,01,15
"Round Top Mtn",2,0.8,4,4020,02,15
"Round Top Mtn",0,0.0,4,4020,03,15
"Round Top Mtn",42,12.8,4,4020,01,16
"Round Top Mtn",35,12.7,4,4020,02,16
"Round Top Mtn",36,12.4,4,4020,03,16
